"rankng of move
","move name
",Year,votes,RATNG,certfcate,runtme,genre,metascore,"DETAL ABOUT MOVE
","DRECTOR
","ACTOR 1
","ACTOR 2
",ACTOR 3,ACTOR 4,"GROSS COLLECTON
"
173,Chldren of Heaven,1997,73827,8.2,PG,89 mn,"Drama, Famly, Sport",77,"After a boy loses hs sster's par of shoes, he goes on a seres of adventures n order to fnd them. When he can't, he tres a new way to ""wn"" a new par.",Majd Majd,Mohammad Amr Naj,Amr Farrokh Hasheman,Bahare Seddq,Nafse Jafar-Mohammad,$0.93M
174,Casno,1995,508995,8.2,18,178 mn,"Crme, Drama",73,"A tale of greed, decepton, money, power, and murder occur between two best frends: a mafa enforcer and a casno executve compete aganst each other over a gamblng empre, and over a fast-lvng and fast-lovng socalte.",Martn Scorsese,Robert De Nro,Sharon Stone,Joe Pesc,James Woods,$42.44M
175,Jurassc Park,1993,959957,8.2,PG,127 mn,"Acton, Adventure, Sc-F",68,A pragmatc paleontologst tourng an almost complete theme park on an sland n Central Amerca s tasked wth protectng a couple of kds after a power falure causes the park's cloned dnosaurs to run loose.,Steven Spelberg,Sam Nell,Laura Dern,Jeff Goldblum,Rchard Attenborough,$402.45M
176,Unforgven,1992,405789,8.2,15,130 mn,"Drama, Western",85,"Retred Old West gunslnger Wllam Munny reluctantly takes on one last job, wth the help of hs old partner Ned Logan and a young man, The ""Schofeld Kd.""",Clnt Eastwood,Clnt Eastwood,Gene Hackman,Morgan Freeman,Rchard Harrs,$101.16M
177,ndana Jones and the Last Crusade,1989,741550,8.2,PG,127 mn,"Acton, Adventure",65,"n 1938, after hs father Professor Henry Jones, Sr. goes mssng whle pursung the Holy Gral, Professor Henry ""ndana"" Jones, Jr. fnds hmself up aganst 's Nazs agan to stop them from obtanng ts powers.",Steven Spelberg,Harrson Ford,Sean Connery,Alson Doody,Denholm Ellott,$197.17M
178,De Hard,1988,860895,8.2,18,132 mn,"Acton, Thrller",72,An NYPD offcer tres to save hs wfe and several others taken hostage by German terrorsts durng a Chrstmas party at the Nakatom Plaza n Los Angeles.,John McTernan,Bruce Wlls,Alan Rckman,Bonne Bedela,Regnald VelJohnson,$83.01M
179,Ran,1985,123909,8.2,15,162 mn,"Acton, Drama, War",96,"n Medeval Japan, an elderly warlord retres, handng over hs empre to hs three sons. However, he vastly underestmates how the new-found power wll corrupt them and cause them to turn on each other...and hm.",Akra Kurosawa,Tatsuya Nakada,Akra Terao,Jnpach Nezu,Dasuke Ryû,$4.14M
180,The Thng,1982,412323,8.2,X,109 mn,"Horror, Mystery, Sc-F",57,A research team n Antarctca s hunted by a shape-shftng alen that assumes the appearance of ts vctms.,John Carpenter,Kurt Russell,Wlford Brmley,Keth Davd,Rchard Masur,$13.78M
181,Ragng Bull,1980,347837,8.2,X,129 mn,"Bography, Drama, Sport",89,"The lfe of boxer , whose volence and temper that led hm to the top n the rng destroyed hs lfe outsde of t.",Martn Scorsese,Robert De Nro,Cathy Morarty,Joe Pesc,Frank Vncent,$23.38M
182,The Elephant Man,1980,237902,8.2,AA,124 mn,"Bography, Drama",78,"A Vctoran surgeon rescues a heavly dsfgured man who s mstreated whle scrapng a lvng as a sde-show freak. Behnd hs monstrous façade, there s revealed a person of kndness, ntellgence and sophstcaton.",Davd Lynch,Anthony Hopkns,John Hurt,Anne Bancroft,John Gelgud,
183,Tax Drver,1976,803975,8.2,X,114 mn,"Crme, Drama",94,"A mentally unstable veteran works as a nghttme tax drver n New York Cty, where the perceved decadence and sleaze fuels hs urge for volent acton.",Martn Scorsese,Robert De Nro,Jode Foster,Cybll Shepherd,Albert Brooks,$28.26M
184,Monty Python and the Holy Gral,1975,533793,8.2,15,91 mn,"Adventure, Comedy, Fantasy",91,"Kng Arthur and hs Knghts of the Round Table embark on a surreal, low-budget search for the Holy Gral, encounterng many, very slly obstacles.",Terry Gllam,Terry Jones,Graham Chapman,John Cleese,Erc dle,$1.23M
185,Dersu Uzala,1975,28759,8.2,U,142 mn,"Adventure, Bography, Drama",,The Russan army sends an explorer on an expedton to the snowy Sberan wlderness where he makes frends wth a seasoned local hunter.,Akra Kurosawa,Maksm Munzuk,Yury Solomn,Mkhal Bychkov,Vladmr Khrulyov,
186,Chnatown,1974,321365,8.2,X,130 mn,"Drama, Mystery, Thrller",92,"A prvate detectve hred to expose an adulterer n 1930s Los Angeles fnds hmself caught up n a web of decet, corrupton, and murder.",Roman Polansk,Jack Ncholson,Faye Dunaway,John Huston,Perry Lopez,$8.49M
187,Z,1969,28461,8.2,A,127 mn,"Crme, Drama, Thrller",86,The publc murder of a promnent poltcan and doctor amd a volent demonstraton s covered up by mltary and government offcals. A tenacous magstrate s determned not to let them get away wth t.,Costa-Gavras,Yves Montand,rene Papas,Jean-Lous Trntgnant,Franços Pérer,$0.08M
188,For a Few Dollars More,1965,252663,8.2,X,132 mn,Western,74,Two bounty hunters wth the same ntentons team up to track down an escaped Mexcan outlaw.,Sergo Leone,Clnt Eastwood,Lee Van Cleef,Gan Mara Volontè,Mara Krupp,$15.00M
189,The Great Escape,1963,241672,8.2,PG,172 mn,"Adventure, Drama, Hstory",86,Alled prsoners of war plan for several hundred of ther number to escape from a German camp durng World War .,John Sturges,Steve McQueen,James Garner,Rchard Attenborough,Charles Bronson,$12.10M
190,Yojmbo,1961,121384,8.2,A,110 mn,"Acton, Drama, Thrller",93,A crafty ronn comes to a town dvded by two crmnal gangs and decdes to play them aganst each other to free the town.,Akra Kurosawa,Toshrô Mfune,Ejrô Tôno,Tatsuya Nakada,Yôko Tsukasa,
191,Some Lke t Hot,1959,263326,8.2,A,121 mn,"Comedy, Musc, Romance",98,"After two male muscans wtness a mob ht, they flee the state n an all-female band dsgused as women, but further complcatons set n.",Blly Wlder,Marlyn Monroe,Tony Curts,Jack Lemmon,George Raft,$25.00M
192,The Brdge on the Rver Kwa,1957,218151,8.2,U,161 mn,"Adventure, Drama, War",87,"Brtsh POWs are forced to buld a ralway brdge across the rver Kwa for ther Japanese captors n occuped Burma, not knowng that the alled forces are plannng a darng commando rad through the jungle to destroy t.",Davd Lean,Wllam Holden,Alec Gunness,Jack Hawkns,Sessue Hayakawa,$44.91M
193,Dal M for Murder,1954,173256,8.2,PG,105 mn,"Crme, Thrller",75,A former tenns star arranges the murder of hs adulterous wfe.,Alfred Htchcock,Ray Mlland,Grace Kelly,Robert Cummngs,John Wllams,$0.01M
194,Tokyo Story,1953,60752,8.2,U,136 mn,Drama,,"An old couple vst ther chldren and grandchldren n the cty, but receve lttle attenton.",Yasujrô Ozu,Chshû Ryû,Cheko Hgashyama,Sô Yamamura,Setsuko Hara,
195,The Wages of Fear,1953,60435,8.2,A,131 mn,"Adventure, Drama, Thrller",85,"n a decrept South Amercan vllage, four men are hred to transport an urgent ntroglycerne shpment wthout the equpment that would make t safe.",Henr-Georges Clouzot,Yves Montand,Charles Vanel,Peter van Eyck,Folco Lull,
196,Umberto D.,1952,25649,8.2,A,89 mn,Drama,92,An elderly man and hs dog struggle to survve on hs government penson n Rome.,Vttoro De Sca,Carlo Battst,Mara Pa Caslo,Lna Gennar,leana Smova,$0.07M
197,Rashomon,1950,166218,8.2,X,88 mn,"Crme, Drama, Mystery",98,"The rape of a brde and the murder of her samura husband are recalled from the perspectves of a bandt, the brde, the samura's ghost and a woodcutter.",Akra Kurosawa,Toshrô Mfune,Machko Kyô,Masayuk Mor,Takash Shmura,$0.10M
198,All About Eve,1950,130033,8.2,A,138 mn,Drama,98,A seemngly tmd but secretly ruthless ngénue nsnuates herself nto the lves of an agng Broadway star and her crcle of theater frends.,Joseph L. Mankewcz,Bette Davs,Anne Baxter,George Sanders,Celeste Holm,$0.01M
199,The Treasure of the Serra Madre,1948,123600,8.2,A,126 mn,"Adventure, Drama, Western",98,Two down-on-ther-luck Amercans searchng for work n 1920s Mexco convnce an old prospector to help them mne for gold n the Serra Madre Mountans.,John Huston,Humphrey Bogart,Walter Huston,Tm Holt,Bruce Bennett,$5.01M
200,To Be or Not to Be,1942,36424,8.2,U,99 mn,"Comedy, Romance, War",86,"Durng the Naz occupaton of Poland, an actng troupe becomes embroled n a Polsh solder's efforts to track down a German spy.",Ernst Lubtsch,Carole Lombard,Jack Benny,Robert Stack,Felx Bressart,
201,Gone wth the Wnd,1939,311501,8.2,PG,238 mn,"Drama, Romance, War",97,The manpulatve daughter of a Georga plantaton owner conducts a turbulent romance wth a rogush profteer durng the Amercan Cvl War and Reconstructon perods.,Vctor Flemng,George Cukor,Sam Wood,Clark Gable,Vven Legh,$198.68M
202,The Passon of Joan of Arc,1928,53938,8.2,A,110 mn,"Bography, Drama, Hstory",,"n 1431, Jeanne d'Arc s placed on tral on charges of heresy. The ecclesastcal jursts attempt to force Jeanne to recant her clams of holy vsons.",Carl Theodor Dreyer,Mara Falconett,Eugene Slvan,André Berley,Maurce Schutz,$0.02M
203,The General,1926,90328,8.2,U,67 mn,"Acton, Adventure, Comedy",,"After beng rejected by the Confederate mltary, not realzng t was due to hs crucal cvlan role, an engneer must sngle-handedly recapture hs beloved locomotve after t s sezed by Unon spes and return t through enemy lnes.",Clyde Bruckman,Buster Keaton,Buster Keaton,Maron Mack,Glen Cavender,$1.03M
204,The Gold Rush,1925,110119,8.2,U,95 mn,"Adventure, Comedy, Drama",,"A prospector goes to the Klondke durng the 1890s gold rush n hopes of makng hs fortune, and s smtten wth a grl he sees n a dance hall.",Charles Chapln,Charles Chapln,Mack Swan,Tom Murray,Henry Bergman,$5.45M
205,Sherlock Jr.,1924,48922,8.2,U,45 mn,"Acton, Comedy, Romance",,"A flm projectonst longs to be a detectve, and puts hs meagre sklls to work when he s framed by a rval for stealng hs grlfrend's father's pocketwatch.",Buster Keaton,Buster Keaton,Kathryn McGure,Joe Keaton,Erwn Connelly,$0.98M
206,Portrat of a Lady on Fre,2019,87181,8.1,15,122 mn,"Drama, Romance",95,"On an solated sland n Brttany at the end of the eghteenth century, a female panter s oblged to pant a weddng portrat of a young woman.",Célne Scamma,Noéme Merlant,Adèle Haenel,Luàna Bajram,Valera Golno,$3.76M
207,RRR,2022,80114,8.1,15,187 mn,"Acton, Drama",84,A fcttous story about two legendary revolutonares and ther journey away from home before they started fghtng for ther country n 1920s.,S.S. Rajamoul,N.T. Rama Rao Jr.,Ram Charan,Ajay Devgn,Ala Bhatt,
208,Pnk,2016,44471,8.1,15,136 mn,"Crme, Drama, Thrller",,"When three young women are mplcated n a crme, a retred lawyer steps forward to help them clear ther names.",Anruddha Roy Chowdhury,Taapsee Pannu,Amtabh Bachchan,Krt Kulhar,Andrea Tarang,$1.24M
209,A Slent Voce,2016,76737,8.1,12A,130 mn,"Anmaton, Drama",78,"A young man s ostraczed by hs classmates after he bulles a deaf grl to the pont where she moves away. Years later, he sets off on a path for redempton.",Naoko Yamada,Myu rno,Saor Hayam,Ao Yûk,Kenshô Ono,
210,"Three Bllboards Outsde Ebbng, Mssour",2017,493303,8.1,15,115 mn,"Comedy, Crme, Drama",88,A mother personally challenges the local authortes to solve her daughter's murder when they fal to catch the culprt.,Martn McDonagh,Frances McDormand,Woody Harrelson,Sam Rockwell,Caleb Landry Jones,$54.51M
211,Talvar,2015,34923,8.1,15,132 mn,"Crme, Drama, Mystery",,An experenced nvestgator confronts several conflctng theores about the perpetrators of a volent double homcde.,Meghna Gulzar,rrfan Khan,Konkona Sen Sharma,Neeraj Kab,Sohum Shah,$0.34M
212,Klaus,2019,143603,8.1,PG,96 mn,"Anmaton, Adventure, Comedy",65,"A smple act of kndness always sparks another, even n a frozen, faraway place. When Smeerensburg's new postman, Jesper, befrends toymaker Klaus, ther gfts melt an age-old feud and delver a slegh full of holday tradtons.",Sergo Pablos,Carlos Martínez López,Jason Schwartzman,J.K. Smmons,Rashda Jones,
213,Masaan,2015,27668,8.1,Not Rated,109 mn,Drama,,"Along nda's Ganges Rver, four people face prejudce, a strct moral code and a punshng caste system as they confront personal tragedes.",Neeraj Ghaywan,Rcha Chadha,Sanjay Mshra,Vcky Kaushal,Pankaj Trpath,
214,The Handmaden,2016,140583,8.1,18,145 mn,"Drama, Romance, Thrller",84,"A woman s hred as a handmaden to a Japanese heress, but secretly she s nvolved n a plot to defraud her.",Park Chan-wook,Km Mn-hee,Ha Jung-woo,Cho Jn-woong,Moon So-r,$2.01M
215,Bajrang Bhajaan,2015,85667,8.1,12A,163 mn,"Acton, Adventure, Comedy",,An ndan man wth a magnanmous heart takes a young mute Pakstan grl back to her homeland to reunte her wth her famly.,Kabr Khan,Salman Khan,Harshaal Malhotra,Nawazuddn Sddqu,Kareena Kapoor,$8.18M
216,Hader,2014,54695,8.1,15,160 mn,"Acton, Crme, Drama",,"A young man returns to Kashmr after hs father's dsappearance to confront hs uncle, whom he suspects of playng a role n hs father's fate.",Vshal Bhardwaj,Shahd Kapoor,Tabu,Shraddha Kapoor,Kay Kay Menon,$0.90M
217,Queen,2013,65335,8.1,12A,146 mn,"Adventure, Comedy, Drama",,A Delh grl from a tradtonal famly sets out on a solo honeymoon after her marrage gets cancelled.,Vkas Bahl,Kangana Ranaut,Rajkummar Rao,Lsa Haydon,Jeffrey Ho,$1.43M
218,Logan,2017,736287,8.1,15,137 mn,"Acton, Drama, Sc-F",77,"n a future where mutants are nearly extnct, an elderly and weary Logan leads a quet lfe. But when Laura, a mutant chld pursued by scentsts, comes to hm for help, he must get her to safety.",James Mangold,Hugh Jackman,Patrck Stewart,Dafne Keen,Boyd Holbrook,$226.28M
219,Room,2015,412018,8.1,15,118 mn,"Drama, Thrller",86,"Held captve for 7 years n an enclosed space, a woman and her young son fnally gan ther freedom, allowng the boy to experence the outsde world for the frst tme.",Lenny Abrahamson,Bre Larson,Jacob Tremblay,Sean Brdgers,Wendy Crewson,$14.68M
220,Wld Tales,2014,194881,8.1,15,122 mn,"Comedy, Drama, Thrller",77,Sx short stores that explore the extremtes of human behavor nvolvng people n dstress.,Damán Szfron,Darío Grandnett,María Marull,Mónca Vlla,Dego Starosta,$3.11M
221,Tangernes,2013,45955,8.1,15,87 mn,"Drama, War",73,"n 1992, war rages n Abkhaza, a breakaway regon of Georga. An Estonan man vo has decded to stay behnd and harvest hs crops of tangernes. n a bloody conflct at hs door, a wounded man s left behnd, and vo takes hm n.",Zaza Urushadze,Lembt Ulfsak,Elmo Nüganen,Gorg Nakashdze,Msha Meskh,$0.14M
222,PK,2014,181028,8.1,12A,153 mn,"Comedy, Drama, Sc-F",,An alen on Earth loses the only devce he can use to communcate wth hs spaceshp. Hs nnocent nature and chld-lke questons force the country to evaluate the mpact of relgon on ts people.,Rajkumar Hran,Aamr Khan,Anushka Sharma,Sanjay Dutt,Boman ran,$10.62M
223,OMG: Oh My God!,2012,57914,8.1,PG,125 mn,"Comedy, Drama, Fantasy",,A shopkeeper takes God to court when hs shop s destroyed by an earthquake.,Umesh Shukla,Paresh Rawal,Akshay Kumar,Mthun Chakraborty,Mahesh Manjrekar,$0.92M
224,The Grand Budapest Hotel,2014,786913,8.1,15,99 mn,"Adventure, Comedy, Crme",88,"A wrter encounters the owner of an agng hgh-class hotel, who tells hm of hs early years servng as a lobby boy n the hotel's glorous years under an exceptonal concerge.",Wes Anderson,Ralph Fennes,F. Murray Abraham,Matheu Amalrc,Adren Brody,$59.10M
225,Gone Grl,2014,957770,8.1,18,149 mn,"Drama, Mystery, Thrller",79,"Wth hs wfe's dsappearance havng become the focus of an ntense meda crcus, a man sees the spotlght turned on hm when t's suspected that he may not be nnocent.",Davd Fncher,Ben Affleck,Rosamund Pke,Nel Patrck Harrs,Tyler Perry,$167.77M
226,Wolf Chldren,2012,44205,8.1,PG,117 mn,"Anmaton, Drama, Famly",71,"After her werewolf lover unexpectedly des n an accdent whle huntng for food for ther chldren, a young woman must fnd ways to rase the werewolf son and daughter that she had wth hm whle keepng ther trat hdden from socety.",Mamoru Hosoda,Ao Myazak,Takao Osawa,Haru Kurok,Yukto Nsh,
227,Hacksaw Rdge,2016,507006,8.1,15,139 mn,"Bography, Drama, Hstory",71,"World War Amercan Army Medc , who served durng the Battle of Oknawa, refuses to kll people and becomes the frst man n Amercan hstory to receve the Medal of Honor wthout frng a shot.",Mel Gbson,Andrew Garfeld,Sam Worthngton,Luke Bracey,Teresa Palmer,$67.21M
228,Barf!,2012,81100,8.1,PG,151 mn,"Comedy, Drama, Romance",,Three young people learn that love can nether be defned nor contaned by socety's defnton of normal and abnormal.,Anurag Basu,Ranbr Kapoor,Pryanka Chopra Jonas,leana D'Cruz,Saurabh Shukla,$2.80M
229,12 Years a Slave,2013,689163,8.1,15,134 mn,"Bography, Drama, Hstory",96,"n the antebellum Unted States, , a free black man from upstate New York, s abducted and sold nto slavery.",Steve McQueen,Chwetel Ejofor,Mchael Kenneth Wllams,Mchael Fassbender,Brad Ptt,$56.67M
230,Rush,2013,471326,8.1,15,123 mn,"Acton, Bography, Drama",74,The mercless 1970s rvalry between Formula One rvals  and .,Ron Howard,Danel Brühl,Chrs Hemsworth,Olva Wlde,Alexandra Mara Lara,$26.95M
231,Le Mans '66,2019,372439,8.1,12A,152 mn,"Acton, Bography, Drama",81,Amercan car desgner  and drver  battle corporate nterference and the laws of physcs to buld a revolutonary race car for Ford n order to defeat Ferrar at the 24 Hours of Le Mans n 1966.,James Mangold,Matt Damon,Chrstan Bale,Jon Bernthal,Catríona Balfe,$117.62M
232,Spotlght,2015,461669,8.1,15,129 mn,"Bography, Crme, Drama",93,"The true story of how the Boston Globe uncovered the massve scandal of chld molestaton and cover-up wthn the local Catholc Archdocese, shakng the entre Catholc Church to ts core.",Tom McCarthy,Mark Ruffalo,Mchael Keaton,Rachel McAdams,Lev Schreber,$45.06M
233,Kahaan,2012,62446,8.1,15,122 mn,"Mystery, Thrller",,"A pregnant woman's search for her mssng husband takes her from London to Kolkata, but everyone she questons denes havng ever met hm.",Sujoy Ghosh,Vdya Balan,Parambrata Chattopadhyay,ndranel Sengupta,Nawazuddn Sddqu,$1.04M
234,Udaan,2010,44852,8.1,Not Rated,134 mn,Drama,,"Expelled from hs school, a 16-year old boy returns home to hs abusve and oppressve father.",Vkramadtya Motwane,Rajat Barmecha,Ront Roy,Manjot Sngh,Ram Kapoor,$0.01M
235,Zndag Na Mleg Dobara,2011,76522,8.1,PG,155 mn,"Comedy, Drama, Muscal",,Three frends decde to turn ther fantasy vacaton nto realty after one of ther frends gets engaged.,Zoya Akhtar,Hrthk Roshan,Farhan Akhtar,Abhay Deol,Katrna Kaf,$3.11M
236,The Help,2011,452138,8.1,12A,146 mn,Drama,62,"An asprng author durng the cvl rghts movement of the 1960s decdes to wrte a book detalng the Afrcan Amercan mads' pont of vew on the whte famles for whch they work, and the hardshps they go through on a daly bass.",Tate Taylor,Emma Stone,Vola Davs,Octava Spencer,Bryce Dallas Howard,$169.71M
237,Prsoners,2013,686045,8.1,15,153 mn,"Crme, Drama, Mystery",70,"When Keller Dover's daughter and her frend go mssng, he takes matters nto hs own hands as the polce pursue multple leads and the pressure mounts.",Dens Vlleneuve,Hugh Jackman,Jake Gyllenhaal,Vola Davs,Melssa Leo,$61.00M
238,Mad Max: Fury Road,2015,975684,8.1,15,120 mn,"Acton, Adventure, Sc-F",90,"n a post-apocalyptc wasteland, a woman rebels aganst a tyranncal ruler n search for her homeland wth the ad of a group of female prsoners, a psychotc worshper, and a drfter named Max.",George Mller,Tom Hardy,Charlze Theron,Ncholas Hoult,Zoë Kravtz,$154.06M
239,A Wednesday,2008,78129,8.1,15,104 mn,"Acton, Crme, Drama",,A retrng polce offcer remnsces about the most astoundng day of hs career. About a case that was never fled but contnues to haunt hm n hs memores - the case of a man and a Wednesday.,Neeraj Pandey,Anupam Kher,Naseeruddn Shah,Vrendra Saxena,Mahesh Kanual,
240,Gran Torno,2008,764837,8.1,15,116 mn,Drama,72,"Dsgruntled Korean War veteran Walt Kowalsk sets out to reform hs neghbor, Thao Lor, a Hmong teenager who tred to steal Kowalsk's przed possesson: a 1972 Gran Torno.",Clnt Eastwood,Clnt Eastwood,Bee Vang,Chrstopher Carley,Ahney Her,$148.10M
241,Harry Potter and the Deathly Hallows: Part 2,2011,852274,8.1,12A,130 mn,"Adventure, Fantasy, Horror",85,"Harry, Ron, and Hermone search for Voldemort's remanng Horcruxes n ther effort to destroy the Dark Lord as the fnal battle rages on at Hogwarts.",Davd Yates,Danel Radclffe,Emma Watson,Rupert Grnt,Mchael Gambon,$381.01M
242,Hach: A Dog's Tale,2009,279561,8.1,U,93 mn,"Bography, Drama, Famly",,A college professor bonds wth an abandoned dog he takes nto hs home.,Lasse Hallström,Rchard Gere,Joan Allen,Cary-Hroyuk Tagawa,Sarah Roemer,
243,Mary and Max,2009,175621,8.1,12A,92 mn,"Anmaton, Comedy, Drama",,"A tale of frendshp between two unlkely pen pals: Mary, a lonely, eght-year-old grl lvng n the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man lvng n New York.",Adam Ellot,Ton Collette,Phlp Seymour Hoffman,Erc Bana,Barry Humphres,
244,How to Tran Your Dragon,2010,724483,8.1,PG,98 mn,"Anmaton, Acton, Adventure",75,"A hapless young Vkng who aspres to hunt dragons becomes the unlkely frend of a young dragon hmself, and learns there may be more to the creatures than he assumed.",Dean DeBlos,Chrs Sanders,Jay Baruchel,Gerard Butler,Chrstopher Mntz-Plasse,$217.58M
245,Chakde! nda,2007,79431,8.1,PG,153 mn,"Drama, Famly, Sport",68,"Kabr Khan, the coach of the ndan Women's Natonal Hockey Team, dreams of makng hs all-grls team emerge vctorous aganst all odds.",Shmt Amn,Shah Rukh Khan,Vdya Malvade,Sagarka Ghatge,Shlpa Shukla,$1.11M
246,nto the Wld,2007,614724,8.1,15,148 mn,"Adventure, Bography, Drama",73,"After graduatng from Emory Unversty, top student and athlete Chrstopher McCandless abandons hs possessons, gves hs entre $24,000 savngs account to charty and htchhkes to Alaska to lve n the wlderness. Along the way, Chrstopher encounters a seres of characters that shape hs lfe.",Sean Penn,Emle Hrsch,Vnce Vaughn,Catherne Keener,Marca Gay Harden,$18.35M
247,Color t Yellow,2006,118386,8.1,15,167 mn,"Comedy, Crme, Drama",,"The story of sx young ndans who assst an Englsh woman to flm a documentary on the freedom fghters from ther past, and the events that lead them to relve the long-forgotten saga of freedom.",Rakeysh Omprakash Mehra,Aamr Khan,Soha Al Khan,Sddharth,Sharman Josh,$2.20M
248,Mllon Dollar Baby,2004,678134,8.1,12A,132 mn,"Drama, Sport",86,A determned woman works wth a hardened boxng traner to become a professonal.,Clnt Eastwood,Hlary Swank,Clnt Eastwood,Morgan Freeman,Jay Baruchel,$100.49M
249,Hotel Rwanda,2004,352329,8.1,12A,121 mn,"Bography, Drama, Hstory",79,", a hotel manager, houses over a thousand Tuts refugees durng ther struggle aganst the Hutu mlta n Rwanda, Afrca.",Terry George,Don Cheadle,Sophe Okonedo,Joaqun Phoenx,Xolan Mal,$23.53M
250,Ratatoulle,2007,710879,8.1,U,111 mn,"Anmaton, Adventure, Comedy",96,A rat who can cook makes an unusual allance wth a young ktchen worker at a famous Pars restaurant.,Brad Brd,Jan Pnkava,Brad Garrett,Lou Romano,Patton Oswalt,$206.45M
251,Before Sunset,2004,258880,8.1,15,80 mn,"Drama, Romance",90,"Nne years after Jesse and Celne frst met, they encounter each other agan on the French leg of Jesse's book tour.",Rchard Lnklater,Ethan Hawke,Jule Delpy,Vernon Dobtcheff,Louse Lemone Torrès,$5.82M
252,Black,2005,34835,8.1,12A,122 mn,Drama,,"The cathartc tale of a young woman who can't see, hear, or speak, and the teacher who brngs a ray of lght nto her dark world.",Sanjay Leela Bhansal,Amtabh Bachchan,Ran Mukerj,Shernaz Patel,Ayesha Kapoor,$0.73M
253,Munna Bha M.B.B.S.,2003,80757,8.1,PG,156 mn,"Comedy, Drama",,A gangster sets out to fulfll hs father's dream of becomng a doctor.,Rajkumar Hran,Sanjay Dutt,Arshad Wars,Gracy Sngh,Boman ran,
254,"Swades: We, the People",2004,89428,8.1,U,210 mn,"Drama, Muscal",,A successful ndan scentst returns to an ndan vllage to take hs nanny to Amerca wth hm and n the process redscovers hs roots.,Ashutosh Gowarker,Shah Rukh Khan,Gayatr Josh,Kshor Ballal,Smth Seth,$1.22M
255,Memores of Murder,2003,175596,8.1,15,131 mn,"Crme, Drama, Mystery",82,"n a small Korean provnce n 1986, two detectves struggle wth the case of multple young women beng found raped and murdered by an unknown culprt.",Bong Joon Ho,Song Kang-ho,Km Sang-kyung,Roe-ha Km,Jae-ho Song,$0.01M
256,Prates of the Carbbean: The Curse of the Black Pearl,2003,1101240,8.1,12A,143 mn,"Acton, Adventure, Fantasy",63,"Blacksmth Wll Turner teams up wth eccentrc prate ""Captan"" Jack Sparrow to save hs love, the governor's daughter, from Jack's former prate alles, who are now undead.",Gore Verbnsk,Johnny Depp,Geoffrey Rush,Orlando Bloom,Kera Knghtley,$305.41M
257,Dl Chahta Ha,2001,71492,8.1,PG,183 mn,"Comedy, Drama, Romance",,"Three nseparable chldhood frends are just out of college. Nothng comes between them - untl they each fall n love, and ther wldly dfferent approaches to relatonshps creates tenson.",Farhan Akhtar,Aamr Khan,Saf Al Khan,Akshaye Khanna,Prety Znta,$0.30M
258,Catch Me f You Can,2002,946682,8.1,12A,141 mn,"Bography, Crme, Drama",75,"Barely 21 yet, Frank s a sklled forger who has passed as a doctor, lawyer and plot. FB agent Carl becomes obsessed wth trackng down the con man, who only revels n the pursut.",Steven Spelberg,Leonardo DCapro,Tom Hanks,Chrstopher Walken,Martn Sheen,$164.62M
259,Everythng's Gonna Be Great,1998,25360,8.1,,107 mn,"Comedy, Drama, Thrller",,"When Altan swpes prescrpton drugs from hs brother Nur's pharmacy, they soon fnd themselves on a dangerous but funny road trp to get rd of the stuff and escape the mafos Altan ...                 »",Ömer Varg,Cem Ylmaz,Mazhar Alanson,Ceyda Düvenc,Selm Nast,
260,Amores perros,2000,238080,8.1,18,154 mn,"Drama, Thrller",83,"A horrfc car accdent connects three stores, each nvolvng characters dealng wth loss, regret, and lfe's harsh realtes, all n the name of love.",Alejandro G. ñárrtu,Emlo Echevarría,Gael García Bernal,Goya Toledo,Álvaro Guerrero,$5.38M
261,Hera Pher,2000,65563,8.1,15,156 mn,"Acton, Comedy, Crme",,"Three unemployed men look for answers to all ther money problems - but when ther opportunty arrves, wll they know what to do wth t?",Pryadarshan,Akshay Kumar,Sunel Shetty,Paresh Rawal,Tabu,
262,Sarfarosh,1999,25561,8.1,18,174 mn,"Acton, Drama, Thrller",,"After hs brother s klled and father severely njured by terrorsts, a young med student quts hs studes to jon the ndan Polce Servce to wpe out the terrorsts.",John Mathew Matthan,Aamr Khan,Naseeruddn Shah,Sonal Bendre,Mukesh Rsh,
263,"Monsters, nc.",2001,888866,8.1,U,92 mn,"Anmaton, Adventure, Comedy",79,"n order to power the cty, monsters have to scare chldren so that they scream. However, the chldren are toxc to the monsters, and after a chld gets through, two monsters realze thngs may not be what they thnk.",Pete Docter,Davd Slverman,Lee Unkrch,Blly Crystal,John Goodman,$289.92M
264,Lagaan: Once Upon a Tme n nda,2001,112623,8.1,PG,224 mn,"Drama, Muscal, Sport",84,The people of a small vllage n Vctoran nda stake ther future on a game of crcket aganst ther ruthless Brtsh rulers.,Ashutosh Gowarker,Aamr Khan,Raghuvr Yadav,Gracy Sngh,Rachel Shelley,$0.07M
265,The Celebraton,1998,86337,8.1,15,105 mn,Drama,82,"At Helge's 60th brthday party, some unpleasant famly truths are revealed.",Thomas Vnterberg,Ulrch Thomsen,Hennng Mortzen,Thomas Bo Larsen,Paprka Steen,$1.65M
266,The ron Gant,1999,188843,8.1,U,86 mn,"Anmaton, Acton, Adventure",85,A young boy befrends a gant robot from outer space that a paranod government agent wants to destroy.,Brad Brd,El Marenthal,Harry Connck Jr.,Jennfer Anston,Vn Desel,$23.16M
